,3DCNN_prof,ProQ3D,GraphQA,angleQA,ProQ2,DAVIS-EMAconsensus,BAKER-ROSETTASERVER,BAKER-experimental,P3De,ModFOLD8,tFold-IDT,VoroCNN-GDT,VoroCNN-GEMME,DeepPotential,Ornate,SBROD,GR#,GDT_TS,NP_P,RANK,Z-M1-GDT,Z-MA-GDT,GDT_HA,GDC_SC,GDC_ALL,RMS_CA,RMS_ALL,NP,err,AL0_P,AL4_P,ALI_P,LGA_S,RMSD[L],Z-score[M],Z-Score[D],Al.Res.,RMSD[D],MolPrb_Score,LDDT,SphGr,CAD_AA,RPF,CODM,DFM,Handed.,SOV,CE,QCS,CONTS,TMscore,Dali(raw),FlexE,QSE,CAD_SS,MolPrb_clash,MolPrb_rotout,MolPrb_ramout,MolPrb_ramfv,target
T1076TS033_2,0.78564,0.631703,0.733,0.690,0.680,0.72304,0.7015,0.6479,0.653044,0.6417407,0.722,0.515,0.541,0.66656995,0.516,0.729902,033s,73.06,100.0,239.0,,0.13,52.03,31.31,49.42,4.113,4.936,540.0,0.0,82.04,90.56,90.56,83.285,1.61,14.08,42.8,510.0,2.3,3.17,0.65,76.48,0.62,0.7,0.97,0.21,0.93,83.5,7.64,92.86,83.38,0.91,7831.4,6.04,25.52,0.41,115.5,2.43,0.93,94.98,T1076
T1076TS252_5,0.82562,0.66008,0.763,0.734,0.777,0.70842,0.7162,0.6847,0.6778263,0.6574553,0.776,0.573,0.610,0.69018066,0.542,0.797214,252s,71.44,100.0,261.0,,0.04,49.26,33.13,47.36,3.506,4.17,540.0,0.0,83.7,92.22,92.78,83.073,1.78,14.45,42.2,527.0,2.6,2.76,0.6,82.87,0.63,0.72,0.98,0.2,0.94,93.2,8.03,91.9,81.44,0.92,7708.1,3.68,78.51,0.41,58.68,0.49,2.6,91.08,T1076
T1076TS183_2,0.86161,0.715755,0.801,0.757,0.756,0.71531,0.7892,0.7952,0.7160649,0.663696,0.813,0.611,0.660,0.7008048,0.564,0.821280,183s,66.76,100.0,325.0,,-0.21,45.0,31.9,41.92,3.805,4.341,540.0,0.0,73.7,89.44,89.44,67.038,1.98,13.81,43.5,524.0,2.9,1.49,0.7,85.56,0.68,0.75,0.98,0.17,0.93,88.0,7.74,95.0,87.93,0.9,7944.8,3.29,,0.51,8.12,0.24,0.74,97.77,T1076
T1076TS198_4,0.87319,0.689735,0.793,0.730,0.862,0.79153,0.8055,0.8040,0.6984878,0.72121686,0.778,0.592,0.627,0.6911996,0.552,0.793268,198s,81.85,100.0,189.0,,0.6,61.9,43.57,59.95,3.1260000000000003,3.736,540.0,0.0,90.19,95.0,95.0,89.664,1.39,15.03,50.5,525.0,1.9,2.58,0.76,88.89,0.71,0.79,0.98,0.11,0.95,91.6,8.12,95.56,89.24,0.94,9182.1,2.04,83.83,0.52,66.91,0.0,1.12,95.91,T1076
T1076TS351_2,0.86576,0.711434,0.801,0.763,0.883,0.72120,0.7763,0.7634,0.7143662,0.67138016,0.825,0.618,0.649,0.703274,0.57,0.843072,351s,68.15,100.0,303.0,,-0.14,45.92,34.05,45.02,3.4210000000000003,4.051,540.0,0.0,81.11,91.11,91.11,71.743,1.91,14.32,44.2,527.0,2.4,1.52,0.7,86.02,0.69,0.75,0.98,0.15,0.94,89.7,8.03,95.21,88.71,0.92,8080.1,3.06,,0.51,6.4,0.49,0.37,97.03,T1076
T1076TS097_1,0.78727,0.623043,0.761,0.715,0.766,0.67633,0.6955,0.6777,0.6575758,0.6458376,0.731,0.557,0.588,0.6787451,0.534,0.732109,097s,66.39,100.0,337.0,-0.24,-0.23,43.42,27.56,40.96,3.592,4.362,540.0,0.0,75.37,89.07,89.07,64.624,1.93,14.04,39.5,523.0,2.8,3.15,0.6,77.96,0.61,0.69,0.97,0.23,0.93,84.6,7.93,90.58,78.2,0.9,7247.9,4.45,84.31,0.4,115.85,0.24,6.32,86.8,T1076
T1076TS070_1,0.86202,0.726703,0.784,0.726,0.922,0.76262,0.7732,0.7773,0.7305569,0.7334166,0.805,0.623,0.664,0.675238,0.567,0.806273,070s,85.09,100.0,99.0,0.72,0.77,64.81,45.47,62.03,1.945,2.736,540.0,0.0,91.85,96.48,96.48,91.781,1.38,15.34,50.8,537.0,1.8,1.23,0.77,91.48,0.74,0.8,0.99,0.09,0.96,95.9,8.21,95.13,87.82,0.96,9237.8,1.6,94.08,0.56,1.48,0.24,0.74,94.98,T1076
T1076TS324_5,0.85870,0.71429,0.784,0.752,0.911,0.77611,0.7906,0.7793,0.7298684,0.70213616,0.786,0.596,0.639,0.69056314,0.558,0.798206,324s,80.74,100.0,197.0,,0.54,58.94,42.67,58.43,2.689,3.323,540.0,0.0,91.85,95.74,95.74,89.296,1.41,15.1,48.2,532.0,2.0,1.14,0.74,90.37,0.72,0.79,0.99,0.12,0.96,92.5,8.12,94.82,87.63,0.95,8770.0,1.9,93.59,0.55,0.62,1.46,0.93,95.54,T1076
T1076TS052_1,0.87887,0.708216,0.800,0.719,0.837,0.77831,0.7942,0.7798,0.7173454,0.73679185,0.777,0.600,0.629,0.6862998,0.557,0.791951,052s,85.51,100.0,86.0,0.74,0.79,66.3,45.13,62.69,2.712,3.31,540.0,0.0,92.04,96.3,96.3,91.65,1.27,15.24,51.8,533.0,2.3,2.46,0.77,91.2,0.73,0.81,0.99,0.1,0.96,89.9,8.12,96.16,90.82,0.95,9411.9,1.66,89.79,0.54,66.79,0.0,0.56,97.03,T1076
T1076TS209_5,0.86293,0.774585,0.817,0.755,0.784,0.78768,0.8324,0.8136,0.7525791,0.71667963,0.829,0.645,0.681,0.69925296,0.57,0.803554,209s,85.46,100.0,88.0,,0.79,65.88,47.76,64.38,3.013,3.609,540.0,0.0,93.33,96.11,96.11,92.159,1.21,15.24,50.9,528.0,1.4,1.04,0.77,89.54,0.73,0.81,0.99,0.1,0.96,89.6,8.12,96.96,92.64,0.96,9248.2,1.63,95.63,0.57,0.98,0.0,0.0,96.28,T1076
T1076TS487_3,0.87545,0.738928,0.810,0.739,0.839,0.79582,0.8209,0.8288,0.7418949,0.7422414,0.767,0.624,0.659,0.698883,0.572,0.750524,487s,87.45,100.0,33.0,,0.9,68.19,45.69,64.71,1.809,2.428,540.0,0.0,94.26,97.41,97.41,93.382,1.18,15.41,52.7,538.0,1.7,1.82,0.71,93.33,0.73,0.82,0.99,0.07,0.97,95.0,8.21,97.05,92.7,0.97,9571.4,1.37,92.06,0.56,14.72,1.22,0.37,97.58,T1076
T1076TS075_3,0.86796,0.695803,0.793,0.736,0.808,0.79827,0.8149,0.8073,0.7089608,0.71876407,0.778,0.582,0.614,0.6931669,0.551,0.798612,075s,82.18,100.0,180.0,,0.62,62.22,43.09,60.41,3.138,3.724,540.0,0.0,90.37,95.0,95.0,89.955,1.32,14.93,50.7,526.0,1.9,2.66,0.75,88.98,0.71,0.79,0.98,0.11,0.96,93.6,8.03,95.46,89.32,0.95,9212.3,2.1,84.11,0.51,65.44,0.0,1.3,94.61,T1076
T1076TS367_2,0.85925,0.721902,0.773,0.751,0.838,0.66850,0.7834,0.7786,0.733188,0.6559833,0.778,0.601,0.620,0.7021615,0.553,0.771437,367s,63.8,100.0,366.0,,-0.37,41.3,27.23,35.57,3.472,3.928,540.0,0.0,65.93,88.52,88.52,67.425,2.17,12.92,44.5,530.0,3.3,2.12,0.7,89.72,0.69,0.77,0.98,0.13,0.93,92.0,8.03,95.18,88.95,0.89,8120.3,2.87,,0.51,29.48,0.49,1.12,97.03,T1076
T1076TS367_3,0.86592,0.711146,0.776,0.754,0.818,0.65792,0.7899,0.7953,0.7247822,0.64985263,0.774,0.589,0.616,0.70209575,0.553,0.785958,367s,62.36,100.0,394.0,,-0.45,39.91,25.98,34.53,3.668,4.128,540.0,0.0,63.52,87.78,87.78,63.19600000000001,2.21,12.58,44.3,529.0,3.3,2.36,0.68,87.41,0.68,0.76,0.98,0.12,0.93,87.4,8.03,94.92,88.4,0.88,8081.2,2.92,,0.49,42.86,0.73,1.49,96.28,T1076
T1076TS042_3,0.82574,0.689656,0.751,0.747,0.903,0.68878,0.7424,0.7273,0.7102475,0.6512841,0.789,0.608,0.644,0.696488,0.557,0.784012,042s,66.9,100.0,323.0,,-0.2,44.81,31.42,42.87,3.688,4.303,540.0,0.0,76.48,90.37,90.37,69.77199999999999,1.9,13.91,42.9,524.0,2.6,1.38,0.69,83.8,0.67,0.74,0.98,0.17,0.94,87.0,7.93,93.73,84.72,0.91,7842.9,3.8,87.38,0.5,1.6,1.22,1.67,93.87,T1076
T1076TS075_4,0.86927,0.686579,0.805,0.748,0.705,0.80165,0.8147,0.8104,0.69601,0.72164387,0.777,0.591,0.613,0.69387233,0.554,0.795787,075s,83.01,100.0,149.0,,0.66,63.2,43.23,60.86,3.075,3.654,540.0,0.0,90.56,95.56,95.56,90.723,1.32,15.17,50.5,525.0,1.9,2.48,0.75,89.81,0.71,0.79,0.98,0.11,0.96,96.2,8.12,95.39,89.17,0.95,9187.6,2.08,84.28,0.52,62.75,0.0,1.12,96.65,T1076
T1076TS460_2,0.84950,0.691639,0.771,0.760,0.769,0.75899,0.7791,0.7387,0.6991401,0.6902684,0.771,0.599,0.620,0.7004579,0.553,0.813973,460s,76.44,100.0,224.0,,0.31,55.19,37.49,53.68,3.609,4.258,540.0,0.0,86.67,92.96,92.96,86.47399999999998,1.54,14.56,45.9,523.0,2.2,3.02,0.67,87.04,0.67,0.76,0.98,0.16,0.94,88.7,8.12,94.4,87.36,0.93,8373.6,3.46,93.21,0.48,54.95,3.16,1.86,93.49,T1076
T1076TS081_3,0.74268,0.608658,0.661,0.649,0.671,0.70687,0.6753,0.6346,0.63844,0.60954356,0.611,0.523,0.545,0.6499991,0.491,0.657408,081s,70.65,100.0,273.0,,-0.0,49.59,27.79,45.47,4.373,5.075,540.0,0.0,78.52,89.44,89.44,82.494,1.66,14.01,41.7,507.0,2.2,4.38,0.47,72.13,0.58,0.67,0.94,0.28,0.92,84.5,7.74,92.56,82.75,0.89,7638.0,23.67,,0.36,258.04,10.46,9.29,79.55,T1076
T1076TS198_5,0.81007,0.660496,0.759,0.761,0.807,0.64659,0.6990,0.6568,0.6776937,0.6292985,0.756,0.565,0.589,0.7004887,0.538,0.857865,198s,63.8,100.0,366.0,,-0.37,40.6,24.29,37.77,2.966,3.741,540.0,0.0,69.26,90.37,90.37,63.299,2.12,14.01,40.9,533.0,2.9,3.27,0.64,80.83,0.62,0.71,0.98,0.2,0.93,87.8,8.03,90.96,79.62,0.91,7488.2,4.16,78.6,0.4,92.25,2.43,3.72,89.96,T1076
T1076TS364_1,0.83106,0.63288,0.735,0.737,0.835,0.63259,0.7022,0.6611,0.6676353,0.6147233,0.747,0.558,0.597,0.692034,0.533,0.765857,364s,63.38,100.0,376.0,-0.39,-0.39,40.79,23.42,35.68,3.557,4.057,540.0,0.0,70.0,90.56,90.56,62.832,2.24,14.38,41.2,526.0,2.7,3.45,0.64,84.63,0.63,0.72,0.97,0.19,0.93,86.1,7.74,92.26,82.54,0.89,7553.7,3.71,84.62,0.44,92.74,2.19,10.78,78.25,T1076
T1076TS324_3,0.84981,0.685608,0.781,0.765,0.863,0.67269,0.7537,0.7480,0.7085126,0.65424186,0.794,0.603,0.655,0.6967307,0.555,0.832556,324s,65.09,100.0,349.0,,-0.3,43.05,27.88,39.91,3.75,4.329,540.0,0.0,73.52,88.89,88.89,64.376,1.98,13.94,41.9,526.0,3.0,1.14,0.68,85.19,0.67,0.73,0.97,0.16,0.93,93.4,7.54,94.26,86.47,0.9,7681.6,3.6,86.36,0.48,0.98,1.7,0.74,97.03,T1076
T1076TS033_4,0.76535,0.617143,0.716,0.678,0.721,0.70551,0.6989,0.6711,0.6387066,0.63473356,0.697,0.528,0.542,0.6570048,0.504,0.723338,033s,69.44,100.0,292.0,,-0.07,47.5,27.38,45.36,4.113,4.797,540.0,0.0,79.63,88.7,88.7,77.102,1.78,13.74,41.5,508.0,2.4,3.19,0.64,77.5,0.61,0.7,0.96,0.22,0.94,85.7,7.84,92.31,83.09,0.9,7591.4,5.94,27.3,0.39,109.35,2.19,0.37,93.49,T1076
T1076TS013_3,0.82955,0.686425,0.767,0.730,0.866,0.72498,0.8086,0.8238,0.6928247,0.693306,0.757,0.614,0.652,0.671179,0.554,0.767082,013s,81.06,100.0,196.0,,0.56,60.05,41.87,58.83,2.1790000000000003,2.979,540.0,0.0,87.59,95.56,95.56,89.806,1.44,15.0,48.3,531.0,1.8,0.51,0.74,88.8,0.72,0.77,0.99,0.12,0.96,90.1,8.12,95.27,89.28,0.95,8801.1,2.11,93.8,0.55,0.0,0.0,0.0,97.96,T1076
T1076TS238_3,0.86304,0.714248,0.806,0.771,0.866,0.69731,0.7918,0.8007,0.7104779,0.6678174,0.825,0.622,0.646,0.7009146,0.566,0.844059,238s,65.79,100.0,342.0,,-0.26,43.8,31.18,40.02,3.5410000000000004,4.11,540.0,0.0,72.78,88.33,88.33,64.193,2.01,13.81,43.6,525.0,2.7,1.47,0.7,84.72,0.69,0.75,0.98,0.15,0.93,89.4,7.84,94.98,88.1,0.9,7968.9,3.6,,0.51,7.63,0.0,0.0,97.77,T1076
T1076TS198_2,0.86523,0.696881,0.799,0.746,0.806,0.79515,0.8033,0.7987,0.705404,0.7263461,0.790,0.605,0.627,0.69333845,0.553,0.812436,198s,82.31,100.0,173.0,,0.62,62.41,43.26,60.72,3.034,3.614,540.0,0.0,90.56,95.19,95.19,90.344,1.37,15.0,51.0,527.0,1.9,2.66,0.76,88.89,0.71,0.79,0.98,0.11,0.96,93.3,8.12,95.75,90.1,0.95,9260.7,2.09,84.16,0.52,69.99,0.0,1.49,94.98,T1076
T1076TS324_1,0.87820,0.695848,0.769,0.736,0.902,0.78380,0.7881,0.7715,0.7107105,0.705267,0.779,0.617,0.648,0.6955331,0.557,0.781966,324s,82.59,100.0,163.0,0.59,0.64,61.48,41.78,59.91,2.084,2.865,540.0,0.0,92.96,96.67,96.67,90.794,1.36,15.24,48.8,536.0,1.9,1.08,0.74,90.93,0.71,0.78,0.99,0.1,0.96,93.5,8.21,95.71,89.37,0.96,8885.5,1.83,94.96,0.53,0.37,0.73,1.86,93.12,T1076
T1076TS377_1,0.85012,0.634462,0.761,0.759,0.672,0.76105,0.7779,0.7392,0.6717127,0.69382364,0.761,0.590,0.610,0.7001779,0.549,0.804157,377s,76.85,100.0,211.0,0.3,0.33,55.65,37.85,54.14,3.516,4.158,540.0,0.0,86.3,92.96,92.96,86.617,1.48,14.59,46.1,524.0,2.3,2.99,0.67,86.3,0.67,0.76,0.98,0.15,0.94,91.7,8.12,94.61,87.82,0.93,8404.6,3.74,93.24,0.48,53.22,3.16,1.86,93.87,T1076
T1076TS050_5,0.86138,0.699862,0.801,0.728,0.866,0.76747,0.7969,0.7965,0.708464,0.73781824,0.770,0.584,0.604,0.68763834,0.546,0.804615,050s,85.19,100.0,98.0,,0.78,65.0,39.41,60.65,2.148,2.817,540.0,0.0,92.41,96.3,96.3,91.635,1.4,15.27,51.8,537.0,2.1,2.99,0.77,92.59,0.72,0.81,0.99,0.09,0.96,93.3,8.21,96.02,90.38,0.96,9415.2,1.16,94.07,0.52,80.93,2.19,1.49,94.8,T1076
T1076TS222_5,0.84769,0.702026,0.784,0.708,0.757,0.75707,0.7773,0.7771,0.7129483,0.73196495,0.761,0.567,0.588,0.68503875,0.543,0.753355,222s,84.26,100.0,123.0,,0.73,63.8,39.73,60.12,1.991,2.729,540.0,0.0,93.33,96.3,96.3,91.364,1.38,15.3,51.2,537.0,1.9,3.12,0.76,92.04,0.7,0.8,0.99,0.09,0.96,90.3,8.21,95.64,89.72,0.96,9300.3,1.46,18.28,0.49,86.96,2.68,1.67,94.24,T1076
T1076TS187_2,0.85913,0.688763,0.792,0.739,0.783,0.80258,0.7946,0.7816,0.7051312,0.7174091,0.784,0.593,0.617,0.69443095,0.551,0.802448,187s,82.64,100.0,160.0,,0.64,62.36,43.05,60.32,3.161,3.81,540.0,0.0,91.11,94.63,94.63,89.98700000000002,1.33,14.93,49.9,526.0,2.3,2.64,0.75,88.06,0.7,0.78,0.99,0.13,0.95,91.9,8.12,95.39,89.17,0.95,9068.7,2.43,85.16,0.51,63.48,0.0,1.3,94.61,T1076
T1076TS013_5,0.86268,0.6899,0.780,0.739,0.832,0.72643,0.8257,0.8371,0.6852608,0.6988251,0.771,0.613,0.651,0.6785964,0.559,0.796507,013s,81.11,100.0,195.0,,0.56,60.19,42.6,58.51,2.121,2.888,540.0,0.0,89.26,96.3,96.3,89.911,1.52,15.24,49.5,536.0,1.9,0.71,0.76,89.72,0.73,0.79,0.99,0.11,0.96,89.4,8.21,95.83,90.3,0.95,9010.7,1.63,94.6,0.57,0.0,0.0,0.93,96.65,T1076
T1076TS031_4,0.85764,0.683873,0.772,0.730,0.867,0.76356,0.7876,0.7528,0.6943194,0.6916367,0.778,0.608,0.644,0.69267976,0.555,0.769047,031s,80.14,100.0,200.0,,0.51,59.07,43.12,57.68,2.971,3.631,540.0,0.0,92.22,95.74,95.74,89.22200000000002,1.39,15.13,48.6,529.0,1.9,1.05,0.75,88.98,0.72,0.79,0.99,0.11,0.96,90.2,8.12,96.37,90.72,0.95,8839.9,2.47,92.78,0.56,0.37,0.0,1.3,93.68,T1076
T1076TS140_5,0.85130,0.680531,0.764,0.758,0.820,0.76071,0.7799,0.7454,0.687917,0.69031733,0.768,0.590,0.612,0.7001949,0.55,0.810496,140s,76.9,100.0,210.0,,0.33,55.97,36.35,53.66,3.502,4.195,540.0,0.0,85.93,92.59,92.59,86.637,1.51,14.52,45.9,523.0,2.3,2.89,0.67,85.19,0.66,0.76,0.98,0.15,0.94,91.2,8.03,94.28,87.05,0.93,8383.5,3.66,93.17,0.47,56.92,2.68,1.49,95.17,T1076
T1076TS337_4,0.80164,0.639531,0.730,0.692,0.714,0.68347,0.7198,0.6450,0.6725348,0.6478628,0.714,0.537,0.551,0.67510927,0.515,0.711759,337s,71.2,100.0,264.0,,0.03,49.16,27.31,46.2,3.506,4.1960000000000015,540.0,0.0,82.04,92.41,92.41,83.32600000000002,1.78,14.28,42.5,526.0,2.3,3.35,0.65,82.87,0.63,0.71,0.98,0.18,0.94,89.9,7.93,91.44,80.0,0.92,7783.1,3.22,92.33,0.4,112.79,3.89,1.12,94.24,T1076
T1077TS075_1,0.27005,0.21551,0.118,0.420,0.289,0.58085,0.5047,0.6108,0.29573983,0.33366615,0.611,0.383,0.458,0.74436766,0.463,0.282611,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,T1077
T1077TS050_4,0.07515,0.299302,0.095,0.258,0.353,0.42403,0.4148,0.4507,0.2611641,0.34776685,0.545,0.293,0.346,0.5005421,0.429,0.165576,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,T1077
T1077TS367_5,0.29084,0.298403,0.117,0.509,0.341,0.67944,0.6278,0.6950,0.3625313,0.37051195,0.643,0.413,0.463,0.8007327,0.452,0.263172,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,T1077
T1077TS222_2,0.30176,0.292594,0.132,0.495,0.353,0.67910,0.5919,0.7015,0.35376986,0.3691663,0.627,0.410,0.453,0.79304785,0.459,0.250577,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,T1077
T1077TS364_2,0.31089,0.298916,0.097,0.471,0.389,0.62298,0.6133,0.6330,0.3197867,0.36978224,0.618,0.404,0.443,0.80179024,0.451,0.221302,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,T1077
T1077TS460_4,0.09287,0.301616,0.079,0.317,0.376,0.47225,0.4836,0.4259,0.2720996,0.31545347,0.502,0.321,0.396,0.60858804,0.434,0.180803,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,T1077
T1077TS222_3,0.28973,0.247163,0.111,0.455,0.258,0.61667,0.5273,0.5679,0.28921854,0.3545143,0.566,0.425,0.431,0.7853435,0.447,0.286676,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,T1077
T1077TS238_1,0.34199,0.348492,0.162,0.537,0.404,0.68341,0.7420,0.7828,0.3748492,0.3715799,0.673,,,0.789691,0.457,0.313013,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,T1077
T1077TS460_3,0.10117,0.273146,0.085,0.231,0.338,0.49162,0.4718,0.3338,0.2643121,0.32635465,0.505,0.281,0.370,0.52960813,0.418,0.150813,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,T1077
T1077TS070_3,0.25962,0.261202,0.110,0.410,0.347,0.62488,0.6652,0.7364,0.3096701,0.34592625,0.642,0.368,0.447,0.75615895,0.462,0.237682,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,T1077
T1077TS468_1,0.30477,0.269203,0.119,0.492,0.233,0.66520,0.5855,0.6950,0.3327294,0.3677116,0.594,0.378,0.413,0.7923084,0.448,0.257414,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,T1077
T1077TS367_1,0.28259,0.276177,0.131,0.527,0.318,0.68118,0.5821,0.6668,0.33450032,0.36636934,0.627,0.396,0.425,0.79409945,0.451,0.265897,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,T1077
T1077TS070_2,0.25002,0.381598,0.127,0.510,0.530,0.62221,0.6914,0.7755,0.3854391,0.3812612,0.686,0.460,0.524,0.7786349,0.489,0.278618,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,T1077
T1077TS252_2,0.27255,0.262833,0.119,0.512,0.363,0.63504,0.5621,0.6224,0.3354126,0.36670995,0.641,0.397,0.457,0.78345793,0.47,0.293085,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,T1077
T1077TS351_5,0.34315,0.339586,0.149,0.523,0.382,0.69462,0.7185,0.7759,0.3782293,0.37825674,0.698,0.439,0.490,0.78786993,0.471,0.322562,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,T1077
T1077TS326_5,0.29562,0.283098,0.117,0.490,0.322,0.67048,0.5742,0.7082,0.3411357,0.3673245,0.611,0.443,0.473,0.79225576,0.452,0.236385,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,T1077
T1077TS377_4,0.35269,0.359135,0.153,0.523,0.411,0.70296,0.7197,0.7871,0.3949826,0.37573686,0.646,0.446,0.467,0.8022897,0.459,0.276245,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,T1077
T1077TS042_5,0.29820,0.240482,0.126,0.424,0.300,0.52711,0.5200,0.6838,0.34020606,0.34006268,0.645,0.408,0.418,0.76832736,0.453,0.252665,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,T1077
T1077TS252_3,0.24316,0.288547,0.114,0.474,0.361,0.64697,0.5624,0.6368,0.3519065,0.36804706,0.641,0.376,0.420,0.78002065,0.473,0.273837,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,T1077
T1077TS226_3,0.36164,0.294085,0.109,0.494,0.364,0.70088,0.6437,0.6905,0.3556621,0.37336165,0.638,0.390,0.434,0.7985902,0.455,0.256502,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,T1077
T1077TS187_5,0.13523,0.242822,0.093,0.321,0.345,0.47649,0.4755,0.4764,0.2376809,0.31580672,0.559,0.303,0.359,0.6030807,0.415,0.215553,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,T1077
T1077TS187_3,0.30943,0.275014,0.107,0.476,0.329,0.64623,0.5556,0.5828,0.3214235,0.35908556,0.619,0.392,0.430,0.7889055,0.469,0.255543,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,T1077
T1077TS075_5,0.12739,0.272365,0.110,0.333,0.298,0.48016,0.4709,0.5159,0.2642559,0.321983,0.600,0.358,0.384,0.629683,0.427,0.231197,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,T1077
T1077TS437_1,0.02597,0.198104,0.103,0.258,0.247,0.42339,0.4180,0.4271,0.1954764,0.27535188,0.574,0.312,0.327,0.4888637,0.406,0.161651,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,T1077
T1077TS351_1,0.37536,0.31023,0.160,0.568,0.432,0.69343,0.7351,0.7587,0.363065,0.37952867,0.713,0.433,0.466,0.7901474,0.477,0.349469,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,T1077
T1077TS209_2,0.37636,0.402633,0.287,0.541,0.476,0.63142,0.7080,0.7438,0.4101115,0.39109105,0.735,0.470,0.524,0.7732638,0.474,0.365455,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,T1077
T1077TS435_5,0.11734,0.232454,0.098,0.266,0.135,0.50056,0.4610,0.4453,0.22670052,0.31011385,0.524,0.282,0.310,0.6398531,0.396,0.161372,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,T1077
T1077TS319_1,0.29902,0.297393,0.111,0.526,0.306,0.65275,0.5510,0.5554,0.3404362,0.37458366,0.614,0.404,0.414,0.7899293,0.465,0.350827,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,T1077
T1077TS031_3,0.22654,0.235246,0.112,0.455,0.250,0.67538,0.5682,0.5666,0.2999767,0.34550408,0.611,0.390,0.431,0.7732379,0.444,0.267272,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,T1077
T1077TS324_4,0.22671,0.24488,0.095,0.431,0.264,0.64355,0.5356,0.5323,0.2847088,0.3418792,0.611,0.376,0.413,0.76949704,0.45,0.233536,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,T1077
T1077TS277_4,0.30367,0.467287,0.133,0.511,0.425,0.61035,0.6683,0.7582,0.4963967,0.40555125,0.688,0.450,0.493,0.7594825,0.475,0.313625,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,T1077
T1077TS226_2,0.28195,0.264032,0.102,0.468,0.367,0.67960,0.5835,0.6039,0.326163,0.34883088,0.637,0.402,0.443,0.7902591,0.451,0.261514,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,T1077
T1077TS319_2,0.31046,0.286712,0.115,0.507,0.301,0.64995,0.5522,0.6306,0.360755,0.36587566,0.603,0.392,0.420,0.7886692,0.462,0.322224,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,T1077
T1077TS351_3,0.41399,0.374634,0.168,0.581,0.461,,0.7707,0.8094,0.3942167,0.3876411,0.712,0.456,0.503,0.7912015,0.484,0.360390,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,T1077
T1077TS319_3,0.28346,0.267222,0.115,0.492,0.299,0.63557,0.5489,0.5704,0.3143145,0.3695391,0.604,0.378,0.406,0.7923606,0.46,0.325442,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,T1077
T1077TS259_2,0.16360,0.281751,0.092,0.307,0.272,0.43016,0.4606,0.4932,0.3347109,0.3272156,0.574,0.358,0.409,0.70133686,0.437,0.176996,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,T1077
